name,description,address,postalCode,latlng,status,companyName,domainName
Eco Dua@Kuala Perlis Branch,,"No.3, 5, 7, 9 (Ground Floor), Jalan Dua, Kompleks Perniagaan Kuala Perlis, 02000 Kuala Perlis, Perlis.",02000,,ACTIVE,Eco Dua@Kuala Perlis Branch,ECO DUA
Eco Dua@Permaisuri Branch,,"Lot 71216-A, Mukim Hulu Setiu, Kg.Balik Bukit, 22100 Bandar Permaisuri, Setiu, Terengganu.",22100,,ACTIVE,Eco Dua@Permaisuri Branch,ECO DUA
Eco Dua@Kuala Krai Branch,,"Lot 14455 - 14458, (Ground Floor), Bandar Kuala Krai,15150 Jajahan Kuala Krai, Kelantan.",15150,,ACTIVE,Eco Dua@Kuala Krai Branch,ECO DUA
Eco Dua@Slim River Branch,,"No. 26-A & B & 27-A & B & 28-A & B, Jalan Perdana 6, Pusat Perniagaan Slim Perdana, 32500 Slim River, Perak.",32500,,ACTIVE,Eco Dua@Slim River Branch,ECO DUA
Eco Dua@Baling Branch,,"No. 11-17, Jalan Syed Sheh, Pekan Baling, 09100 Kedah.",09100,,ACTIVE,Eco Dua@Baling Branch,ECO DUA
Eco Dua@Terengganu 2 Branch,,"Lot 2205 (GM 1761), Kampung Dusun Melintang, Cabang Tiga, 21000 Kuala Terengganu, Terengganu.",21000,,ACTIVE,Eco Dua@Terengganu 2 Branch,ECO DUA
Eco Dua@Petaling PJS6 Branch,,"No. 15 & 16 (Ground Floor), Jalan PJS 6/6, Desa Mentari, 46000 Petaling Jaya, Selangor.",46000,,ACTIVE,Eco Dua@Petaling PJS6 Branch,ECO DUA
Eco Dua@Temerloh Branch,,"No. 4, 10 (Ground & 1st Floor), No 8, 10 (Ground, 1st & 2nd Floor), Jalan Pak Sako, 28000 Temerloh, Pahang.",28000,,ACTIVE,Eco Dua@Temerloh Branch,ECO DUA
Eco Dua@Batu Gajah Branch,,"20 -21 Jln Bandar Baru 2, Bandar Baru Batu Gajah, 31000 Batu Gajah Perak.",31000,,ACTIVE,Eco Dua@Batu Gajah Branch,ECO DUA
Eco Dua@Gurun Kedah Branch,,"88b,c,d,e,f,g,h Jalan Raya Gurun, 08300 Gurun, Kedah",08300,,ACTIVE,Eco Dua@Gurun Kedah Branch,ECO DUA
Eco Dua@Pendang Branch,,"No 31-36 (Grd & First Floor), Jalan Sukamari, Taman Sukamari, 06700 Pendang, Kedah.",06700,,ACTIVE,Eco Dua@Pendang Branch,ECO DUA
Eco Dua@Senawang 2 Branch,,"No 59-63, Jalan BPS 4, Bandar Prima Senawang, 70450 Seremban, Negeri Sembilan.",70450,,ACTIVE,Eco Dua@Senawang 2 Branch,ECO DUA
Eco Dua@Mersing Branch,,"84-G, 85-G & 86-G, Jalan Sulaiman, Taman Tepian Sungai 2, 86800 Mersing, Johor.",86800,,ACTIVE,Eco Dua@Mersing Branch,ECO DUA
Eco Dua@Tambun Branch,,"No. 3, 5, 7, 9, Lengkok Perpaduan 1, Taman Perpaduan, 31150 Ulu Kinta, Perak.",31150,,ACTIVE,Eco Dua@Tambun Branch,ECO DUA
Eco Dua@Pasir Mas Branch,,"PT 650, PT 651, Daerah Pasir Mas, Mukim Kuala Lemal, Kampung Lemal, 17170 Pasir Mas, Kelantan.",17170,,ACTIVE,Eco Dua@Pasir Mas Branch,ECO DUA
Eco Dua@Tanah Merah Branch,,"Pt-4924,4925,4926 (Tkt Bwh) & 4927 (Tkt Bwh & Atas), Taman Kota Harmoni, 17500 Tanah Merah, Kelantan.",17500,,ACTIVE,Eco Dua@Tanah Merah Branch,ECO DUA
Eco Dua@Bukit Mahkota Branch,,"No. 58 & 60, Jalan BM 2/1,  Bandar Bukit Mahkota,  43000 Kajang, Selangor.",43000,,ACTIVE,Eco Dua@Bukit Mahkota Branch,ECO DUA
Eco Dua@Megalong Branch,,"1F-U First Floor, Megalong Commercial Complex, 89500 Penampang Sabah",89500,,ACTIVE,Eco Dua@Megalong Branch,ECO DUA
Eco Dua@Pokok Sena Branch,,"No. 5, 6, 7, 8, 9, 10(Grd Floor), No.11, 12, 13(Grd & 1st Floor), 06400 Pokok Sena, Kedah.",06400,,ACTIVE,Eco Dua@Pokok Sena Branch,ECO DUA
Eco Dua@Gong Datuk Branch,,"Pt-22783, Pt-22784 (Tkt Bwh) & Pt-22785 (Tkt Bwh & Atas), Kg. Gong Datok, Mengabang Telipot, 21030 K.Terengganu, Terengganu.",21030,,ACTIVE,Eco Dua@Gong Datuk Branch,ECO DUA
Eco Dua@Kajang Branch,,"No 32, 32A, 36, 38, 40 & 42, Jalan Ttdi Grove 1/1, Taman Ttdi Grove, 43000 Kajang, Selangor.",43000,,ACTIVE,Eco Dua@Kajang Branch,ECO DUA
Eco Dua@Bukit Beruntung Branch,,"No. 2A, 12, 12A (Grd Floor), No. 8, 10 (Grd & 1st Floor), Jalan Orkid 1G, Seksyen BS 1, 48300 Bandar Bukit Sentosa, Selangor.",48300,,ACTIVE,Eco Dua@Bukit Beruntung Branch,ECO DUA
Eco Dua@Medan Bayan Branch,,"No.8, Jalan Medan Bayan, Sungai Ara, 11900 Bayan Lepas, Pulau Pinang",11900,,ACTIVE,Eco Dua@Medan Bayan Branch,ECO DUA
Eco Dua@Batu Berendam Branch,,"No.1, 3, 5, 7, 9, 11, 13, Jalan MP18, Taman Merdeka Permai, 75350 Batu Berendam, Melaka.",75350,,ACTIVE,Eco Dua@Batu Berendam Branch,ECO DUA
Eco Dua@Senai Branch,,"264(Grd), 265 (Grd), 266 (Grd), 267 (Grd, 1st, 2nd), 268 (Grd, 1st, 2nd), Jalan Bintang Utama 1, Taman Bintang Utama, 81400 Senai, Johor.",81400,,ACTIVE,Eco Dua@Senai Branch,ECO DUA
Eco Dua@Bagan Luar Branch,,"No 4157, Jalan Bagan Luar, 12000 Butterworth, Penang.",12000,,ACTIVE,Eco Dua@Bagan Luar Branch,ECO DUA
Eco Dua@Kubang Kerian Branch,,"Lot 3229 & 400, Mukim Kenali, Daerah Kubang Kerian, 15300 Kota Bharu, Kelantan.",15300,,ACTIVE,Eco Dua@Kubang Kerian Branch,ECO DUA
Eco Dua@Bahau Branch,,"No. 2 (Ground & First Floor), Jalan Casuarina 2, Pusat Perniagaan Casuarina, 72100 Bahau, Negeri Sembilan.",72100,,ACTIVE,Eco Dua@Bahau Branch,ECO DUA
Eco Dua@Desaru Branch,,"83,85,87 (Ground & 1St Floor), Jalan Jelutong 1, Taman Desaru Utama, 81930 Bandar Penawar, Johor.",81930,,ACTIVE,Eco Dua@Desaru Branch,ECO DUA
Eco Dua@Sungai Petani 2 Branch,,"No. 17, 18, 19 (Grd, 1st & 2nd Flr), Jalan Jati 1/1, Pusat Perniagaan Amanjaya, 08000 Sungai Petani, Kedah Darul Aman.",08000,,ACTIVE,Eco Dua@Sungai Petani 2 Branch,ECO DUA
Eco Dua@Jementah Branch,,"61A & 61B, Jalan Muar, 85200 Jementah, Segamat, Johor.",85200,,ACTIVE,Eco Dua@Jementah Branch,ECO DUA
Eco Dua@Tumpat Kelantan Branch,,"Lot 17,18 (Ground and First Floor, Jalan Setia Utama, Bandar Bentara, 16200, Kelantan",16200,,ACTIVE,Eco Dua@Tumpat Kelantan Branch,ECO DUA
Eco Dua@Bukit Mertajam Branch,,"No. 39, 41, (Ground and Mezzanine Floor), Persiaran Seri Impian, Pusat Perniagaan Mahkota Impian, 14000 Bukit Mertajam, Pulau Pinang.",14000,,ACTIVE,Eco Dua@Bukit Mertajam Branch,ECO DUA
Eco Dua@Wakaf Che Yeh Branch,,"Lot 3006, Batu 3, Wakaf Che Yeh, Jalan Kuala Krai,15150 Kota Bharu,Kelantan.",15150,,ACTIVE,Eco Dua@Wakaf Che Yeh Branch,ECO DUA
Eco Dua@Jerantut Branch,,"20 (Ground Floor), Lorong Saujana Idaman 1, Taman Saujana Idaman, 27000 Jerantut, Pahang.",27000,,ACTIVE,Eco Dua@Jerantut Branch,ECO DUA
Eco Dua@Aeon Maruli Branch,,"Lot T01 & T02 (3rd), Aeon Taman Maluri Shopping Centre, Jalan Jejaka, Taman Maluri, Cheras, 55100 Kuala Lumpur.",55100,,ACTIVE,Eco Dua@Aeon Maruli Branch,ECO DUA
Eco Dua@Jerteh Branch,,"Lot 4116, 4117 Dan 4118 (Tingkat Bwh Dan Atas) Jalan Tangki Air, 22000 Jerteh, Terengganu.",22000,,ACTIVE,Eco Dua@Jerteh Branch,ECO DUA
Eco Dua@Gua Musang Branch,,"18181, 18182 (Ground & First Floor), Jalan Sri Cindai, Taman Sri Cindai, 18300 Gua Musang, Kelantan",18300,,ACTIVE,Eco Dua@Gua Musang Branch,ECO DUA
Eco Dua@Alor Setar Branch,,"No 1, 2, 3, 5 & 6 Kompleks Perniagaan Wantas, Lebuhraya Sultan Abdul Halim, 05400 Alor Setar, Kedah.",05400,,ACTIVE,Eco Dua@Alor Setar Branch,ECO DUA
Eco Dua@Gemas Branch,,"No. G11, 1-11, 2-11, Jalan Harmoni Gemas 1, Pusat Perniagaan Harmoni Gemas, Gemas, Negeri Sembilan.",73400,,ACTIVE,Eco Dua@Gemas Branch,ECO DUA
Eco Dua@Putrajaya Branch,,"No. 1, 2, 3, 4 (Grd & 1st Flr), Block A, Jalan Seluang P8/7, Bazaar 8, 62250 Wilayah Persekuatuan, Putrajaya.",62250,,ACTIVE,Eco Dua@Putrajaya Branch,ECO DUA
"Eco Dua@""Gombak",," M3 Mall Branch""",53100,,ACTIVE,"Eco Dua@""Gombak",ECO DUA
Eco Dua@Bukit Anggerik Branch,,"Lot 6710, LG, Plaza Anggerik, Jalan 3/154, Taman Bukit Anggerik, 56000 Cheras, Kuala Lumpur.",56000,,ACTIVE,Eco Dua@Bukit Anggerik Branch,ECO DUA
Eco Dua@Tanah Merah 2 Branch,,"PT 678 (NO.4) ,PT 677 (No.6), PT 676 (NO.8),PT 675 (No.10), Ground, 1st & 2nd Floor, Kompleks Perniagaan Humaira, Jalan Humaira 1, 17500 Tanah Merah, Kelantan.",17500,,ACTIVE,Eco Dua@Tanah Merah 2 Branch,ECO DUA
Eco Dua@Jelawat Branch,,"Lot 593, Jalan UMK Cawangan Bachok, Mukim Repek,  16310 Bachok,Kelantan",16310,,ACTIVE,Eco Dua@Jelawat Branch,ECO DUA
Eco Dua@Simpang Pulai Branch,,"No.1 Jln Pulai Business Centre 1 (Pbc 1), Pulai Business Centre, 31300 Simpang Pulai, Ipoh, Perak.",31300,,ACTIVE,Eco Dua@Simpang Pulai Branch,ECO DUA
Eco Dua@Silibin Branch,,"No. 351, 351A, 351B, Jalan Silibin, 30100 Ipoh, Perak.",30100,,ACTIVE,Eco Dua@Silibin Branch,ECO DUA
Eco Dua@Kepong Jinjang Branch,,"No. 1-A, Lot 67729, West Road 2, Jinjang Utara, 52000 Wilayah persekutuan Kuala Lumpur.",52000,,ACTIVE,Eco Dua@Kepong Jinjang Branch,ECO DUA
Eco Dua@Balakong Branch,,"Ka 19-G, Ka 20-G, Ka 21-G, Ka 22-G Jalan Balakong 2/1, Taman Setia Balakong, 43000 Selangor Darul Ehsan.",43000,,ACTIVE,Eco Dua@Balakong Branch,ECO DUA
